title,price_gbp,rating,in_stock,category
It's Only the Himalayas,45.17,2,True,Travel
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,True,Travel
See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,True,Travel
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,2,True,Travel
Under the Tuscan Sun,37.33,3,True,Travel
A Summer In Europe,44.34,2,True,Travel
The Great Railway Bazaar,30.54,1,True,Travel
A Year in Provence (Provence #1),56.88,4,True,Travel
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,1,True,Travel
Neither Here nor There: Travels in Europe,38.95,3,True,Travel
"1,000 Places to See Before You Die",26.08,5,True,Travel
